"Año";"Periodo";"Último España"
"2007";"Día 18 de octubre";"4,41"
"2007";"Día 19 de octubre";"4,3"
"2007";"Día 22 de octubre";"4,28"
"2007";"Día 23 de octubre";"4,28"
"2007";"Día 24 de octubre";"4,24"
"2007";"Día 25 de octubre";"4,26"
"2007";"Día 26 de octubre";"4,28"
"2007";"Día 29 de octubre";"4,27"
"2007";"Día 30 de octubre";"4,28"
"2007";"Día 31 de octubre";"4,4"
"2007";"Día 1 de noviembre";"4,3"
"2007";"Día 2 de noviembre";"4,29"
"2007";"Día 5 de noviembre";"4,3"
"2007";"Día 6 de noviembre";"4,31"
"2007";"Día 7 de noviembre";"4,25"
"2007";"Día 8 de noviembre";"4,26"
"2007";"Día 9 de noviembre";"4,22"
"2007";"Día 12 de noviembre";"4,22"
"2007";"Día 13 de noviembre";"4,28"
"2007";"Día 14 de noviembre";"4,27"
"2007";"Día 15 de noviembre";"4,23"
"2007";"Día 16 de noviembre";"4,24"
"2007";"Día 19 de noviembre";"4,17"
"2007";"Día 20 de noviembre";"4,21"
"2007";"Día 21 de noviembre";"4,19"
"2007";"Día 22 de noviembre";"4,2"
"2007";"Día 23 de noviembre";"4,2"
"2007";"Día 26 de noviembre";"4,13"
"2007";"Día 27 de noviembre";"4,24"
"2007";"Día 28 de noviembre";"4,3"
"2007";"Día 29 de noviembre";"4,23"
"2007";"Día 30 de noviembre";"4,29"
"2007";"Día 3 de diciembre";"4,21"
"2007";"Día 4 de diciembre";"4,18"
"2007";"Día 5 de diciembre";"4,19"
"2007";"Día 6 de diciembre";"4,25"
"2007";"Día 7 de diciembre";"4,34"
"2007";"Día 10 de diciembre";"4,38"
"2007";"Día 11 de diciembre";"4,37"
"2007";"Día 12 de diciembre";"4,4"
"2007";"Día 13 de diciembre";"4,41"
"2007";"Día 14 de diciembre";"4,43"
"2007";"Día 17 de diciembre";"4,39"
"2007";"Día 18 de diciembre";"4,39"
"2007";"Día 19 de diciembre";"4,38"
"2007";"Día 20 de diciembre";"4,36"
"2007";"Día 21 de diciembre";"4,42"
"2007";"Día 24 de diciembre";"4,42"
"2007";"Día 25 de diciembre";"4,42"
"2007";"Día 27 de diciembre";"4,45"
"2007";"Día 28 de diciembre";"4,41"
"2007";"Día 31 de diciembre";"4,4"
"2008";"Día 2 de enero";"4,28"
"2008";"Día 3 de enero";"4,27"
"2008";"Día 4 de enero";"4,24"
"2008";"Día 7 de enero";"4,24"
"2008";"Día 8 de enero";"4,24"
"2008";"Día 9 de enero";"4,24"
"2008";"Día 10 de enero";"4,24"
"2008";"Día 11 de enero";"4,24"
"2008";"Día 14 de enero";"4,21"
"2008";"Día 15 de enero";"4,15"
"2008";"Día 16 de enero";"4,14"
"2008";"Día 17 de enero";"4,09"
"2008";"Día 18 de enero";"4,12"
"2008";"Día 21 de enero";"4,06"
"2008";"Día 22 de enero";"4,13"
"2008";"Día 23 de enero";"4,06"
"2008";"Día 24 de enero";"4,18"
"2008";"Día 25 de enero";"4,13"
"2008";"Día 28 de enero";"4,12"
"2008";"Día 29 de enero";"4,16"
"2008";"Día 30 de enero";"4,18"
"2008";"Día 31 de enero";"4,1"
"2008";"Día 1 de febrero";"4,06"
"2008";"Día 4 de febrero";"4,08"
"2008";"Día 5 de febrero";"3,98"
"2008";"Día 6 de febrero";"4,02"
"2008";"Día 7 de febrero";"4,02"
"2008";"Día 8 de febrero";"4,01"
"2008";"Día 11 de febrero";"4,03"
"2008";"Día 12 de febrero";"4,06"
"2008";"Día 13 de febrero";"4,12"
"2008";"Día 14 de febrero";"4,13"
"2008";"Día 15 de febrero";"4,08"
"2008";"Día 18 de febrero";"4,13"
"2008";"Día 19 de febrero";"4,26"
"2008";"Día 20 de febrero";"4,28"
"2008";"Día 21 de febrero";"4,27"
"2008";"Día 22 de febrero";"4,27"
"2008";"Día 25 de febrero";"4,31"
"2008";"Día 26 de febrero";"4,34"
"2008";"Día 27 de febrero";"4,37"
"2008";"Día 28 de febrero";"4,26"
"2008";"Día 29 de febrero";"4,15"
"2008";"Día 3 de marzo";"4,13"
"2008";"Día 4 de marzo";"4,16"
"2008";"Día 5 de marzo";"4,22"
"2008";"Día 6 de marzo";"4,17"
"2008";"Día 7 de marzo";"4,19"
"2008";"Día 10 de marzo";"4,12"
"2008";"Día 11 de marzo";"4,17"
"2008";"Día 12 de marzo";"4,18"
"2008";"Día 13 de marzo";"4,17"
"2008";"Día 14 de marzo";"4,15"
"2008";"Día 17 de marzo";"4,12"
"2008";"Día 18 de marzo";"4,18"
"2008";"Día 19 de marzo";"4,14"
"2008";"Día 20 de marzo";"4,12"
"2008";"Día 25 de marzo";"4,23"
"2008";"Día 26 de marzo";"4,26"
"2008";"Día 27 de marzo";"4,26"
"2008";"Día 28 de marzo";"4,27"
"2008";"Día 31 de marzo";"4,22"
"2008";"Día 1 de abril";"4,28"
"2008";"Día 2 de abril";"4,28"
"2008";"Día 3 de abril";"4,29"
"2008";"Día 4 de abril";"4,26"
"2008";"Día 7 de abril";"4,32"
"2008";"Día 8 de abril";"4,31"
"2008";"Día 9 de abril";"4,35"
"2008";"Día 10 de abril";"4,3"
"2008";"Día 11 de abril";"4,24"
"2008";"Día 14 de abril";"4,22"
"2008";"Día 15 de abril";"4,29"
"2008";"Día 16 de abril";"4,37"
"2008";"Día 17 de abril";"4,39"
"2008";"Día 18 de abril";"4,41"
"2008";"Día 21 de abril";"4,41"
"2008";"Día 22 de abril";"4,44"
"2008";"Día 23 de abril";"4,42"
"2008";"Día 24 de abril";"4,48"
"2008";"Día 25 de abril";"4,45"
"2008";"Día 28 de abril";"4,47"
"2008";"Día 29 de abril";"4,42"
"2008";"Día 30 de abril";"4,4"
"2008";"Día 2 de mayo";"4,46"
"2008";"Día 5 de mayo";"4,41"
"2008";"Día 6 de mayo";"4,42"
"2008";"Día 7 de mayo";"4,42"
"2008";"Día 8 de mayo";"4,33"
"2008";"Día 9 de mayo";"4,29"
"2008";"Día 12 de mayo";"4,31"
"2008";"Día 13 de mayo";"4,4"
"2008";"Día 14 de mayo";"4,46"
"2008";"Día 15 de mayo";"4,44"
"2008";"Día 16 de mayo";"4,42"
"2008";"Día 19 de mayo";"4,47"
"2008";"Día 20 de mayo";"4,43"
"2008";"Día 21 de mayo";"4,49"
"2008";"Día 22 de mayo";"4,53"
"2008";"Día 23 de mayo";"4,48"
"2008";"Día 26 de mayo";"4,5"
"2008";"Día 27 de mayo";"4,53"
"2008";"Día 28 de mayo";"4,57"
"2008";"Día 29 de mayo";"4,65"
"2008";"Día 30 de mayo";"4,61"
"2008";"Día 2 de junio";"4,57"
"2008";"Día 3 de junio";"4,66"
"2008";"Día 4 de junio";"4,62"
"2008";"Día 5 de junio";"4,71"
"2008";"Día 6 de junio";"4,69"
"2008";"Día 9 de junio";"4,79"
"2008";"Día 10 de junio";"4,8"
"2008";"Día 11 de junio";"4,83"
"2008";"Día 12 de junio";"4,91"
"2008";"Día 13 de junio";"4,9"
"2008";"Día 16 de junio";"4,89"
"2008";"Día 17 de junio";"4,89"
"2008";"Día 18 de junio";"4,88"
"2008";"Día 19 de junio";"4,93"
"2008";"Día 20 de junio";"4,91"
"2008";"Día 23 de junio";"4,87"
"2008";"Día 24 de junio";"4,87"
"2008";"Día 25 de junio";"4,88"
"2008";"Día 26 de junio";"4,79"
"2008";"Día 27 de junio";"4,8"
"2008";"Día 30 de junio";"4,9"
"2008";"Día 1 de julio";"4,87"
"2008";"Día 2 de julio";"4,92"
"2008";"Día 3 de julio";"4,81"
"2008";"Día 4 de julio";"4,78"
"2008";"Día 7 de julio";"4,72"
"2008";"Día 8 de julio";"4,7"
"2008";"Día 9 de julio";"4,69"
"2008";"Día 10 de julio";"4,67"
"2008";"Día 11 de julio";"4,75"
"2008";"Día 14 de julio";"4,67"
"2008";"Día 15 de julio";"4,71"
"2008";"Día 16 de julio";"4,72"
"2008";"Día 17 de julio";"4,79"
"2008";"Día 18 de julio";"4,89"
"2008";"Día 21 de julio";"4,92"
"2008";"Día 22 de julio";"4,95"
"2008";"Día 23 de julio";"4,93"
"2008";"Día 24 de julio";"4,87"
"2008";"Día 25 de julio";"4,93"
"2008";"Día 28 de julio";"4,83"
"2008";"Día 29 de julio";"4,77"
"2008";"Día 30 de julio";"4,73"
"2008";"Día 31 de julio";"4,67"
"2008";"Día 1 de agosto";"4,64"
"2008";"Día 4 de agosto";"4,65"
"2008";"Día 5 de agosto";"4,64"
"2008";"Día 6 de agosto";"4,68"
"2008";"Día 7 de agosto";"4,57"
"2008";"Día 8 de agosto";"4,58"
"2008";"Día 11 de agosto";"4,6"
"2008";"Día 12 de agosto";"4,56"
"2008";"Día 13 de agosto";"4,56"
"2008";"Día 14 de agosto";"4,55"
"2008";"Día 15 de agosto";"4,52"
"2008";"Día 18 de agosto";"4,49"
"2008";"Día 19 de agosto";"4,53"
"2008";"Día 20 de agosto";"4,48"
"2008";"Día 21 de agosto";"4,54"
"2008";"Día 22 de agosto";"4,57"
"2008";"Día 25 de agosto";"4,48"
"2008";"Día 26 de agosto";"4,48"
"2008";"Día 27 de agosto";"4,54"
"2008";"Día 28 de agosto";"4,54"
"2008";"Día 29 de agosto";"4,54"
"2008";"Día 1 de septiembre";"4,49"
"2008";"Día 2 de septiembre";"4,52"
"2008";"Día 3 de septiembre";"4,51"
"2008";"Día 4 de septiembre";"4,44"
"2008";"Día 5 de septiembre";"4,46"
"2008";"Día 8 de septiembre";"4,48"
"2008";"Día 9 de septiembre";"4,48"
"2008";"Día 10 de septiembre";"4,51"
"2008";"Día 11 de septiembre";"4,51"
"2008";"Día 12 de septiembre";"4,59"
"2008";"Día 15 de septiembre";"4,52"
"2008";"Día 16 de septiembre";"4,53"
"2008";"Día 17 de septiembre";"4,53"
"2008";"Día 18 de septiembre";"4,61"
"2008";"Día 19 de septiembre";"4,75"
"2008";"Día 22 de septiembre";"4,74"
"2008";"Día 23 de septiembre";"4,73"
"2008";"Día 24 de septiembre";"4,66"
"2008";"Día 25 de septiembre";"4,71"
"2008";"Día 26 de septiembre";"4,63"
"2008";"Día 29 de septiembre";"4,55"
"2008";"Día 30 de septiembre";"4,59"
"2008";"Día 1 de octubre";"4,55"
"2008";"Día 2 de octubre";"4,49"
"2008";"Día 3 de octubre";"4,46"
"2008";"Día 6 de octubre";"4,31"
"2008";"Día 7 de octubre";"4,31"
"2008";"Día 8 de octubre";"4,4"
"2008";"Día 9 de octubre";"4,47"
"2008";"Día 10 de octubre";"4,61"
"2008";"Día 13 de octubre";"4,69"
"2008";"Día 14 de octubre";"4,64"
"2008";"Día 15 de octubre";"4,59"
"2008";"Día 16 de octubre";"4,53"
"2008";"Día 17 de octubre";"4,48"
"2008";"Día 20 de octubre";"4,5"
"2008";"Día 21 de octubre";"4,43"
"2008";"Día 22 de octubre";"4,35"
"2008";"Día 23 de octubre";"4,38"
"2008";"Día 24 de octubre";"4,36"
"2008";"Día 27 de octubre";"4,37"
"2008";"Día 28 de octubre";"4,38"
"2008";"Día 29 de octubre";"4,43"
"2008";"Día 30 de octubre";"4,45"
"2008";"Día 31 de octubre";"4,58"
"2008";"Día 3 de noviembre";"4,56"
"2008";"Día 4 de noviembre";"4,54"
"2008";"Día 5 de noviembre";"4,47"
"2008";"Día 6 de noviembre";"4,35"
"2008";"Día 7 de noviembre";"4,26"
"2008";"Día 10 de noviembre";"4,25"
"2008";"Día 11 de noviembre";"4,23"
"2008";"Día 12 de noviembre";"4,16"
"2008";"Día 13 de noviembre";"4,21"
"2008";"Día 14 de noviembre";"4,12"
"2008";"Día 17 de noviembre";"4,16"
"2008";"Día 18 de noviembre";"4,14"
"2008";"Día 19 de noviembre";"4,04"
"2008";"Día 20 de noviembre";"3,88"
"2008";"Día 21 de noviembre";"3,86"
"2008";"Día 24 de noviembre";"3,95"
"2008";"Día 25 de noviembre";"3,9"
"2008";"Día 26 de noviembre";"3,87"
"2008";"Día 27 de noviembre";"3,91"
"2008";"Día 28 de noviembre";"3,91"
"2008";"Día 1 de diciembre";"3,86"
"2008";"Día 2 de diciembre";"3,82"
"2008";"Día 3 de diciembre";"3,75"
"2008";"Día 4 de diciembre";"3,86"
"2008";"Día 5 de diciembre";"3,8"
"2008";"Día 8 de diciembre";"3,95"
"2008";"Día 9 de diciembre";"4,03"
"2008";"Día 10 de diciembre";"3,97"
"2008";"Día 11 de diciembre";"3,97"
"2008";"Día 12 de diciembre";"4,06"
"2008";"Día 15 de diciembre";"4,01"
"2008";"Día 16 de diciembre";"3,97"
"2008";"Día 17 de diciembre";"3,83"
"2008";"Día 18 de diciembre";"3,83"
"2008";"Día 19 de diciembre";"3,83"
"2008";"Día 22 de diciembre";"3,79"
"2008";"Día 23 de diciembre";"3,82"
"2008";"Día 29 de diciembre";"3,77"
"2008";"Día 30 de diciembre";"3,79"
"2009";"Día 2 de enero";"3,81"
"2009";"Día 5 de enero";"3,85"
"2009";"Día 6 de enero";"3,99"
"2009";"Día 7 de enero";"4"
"2009";"Día 8 de enero";"3,94"
"2009";"Día 9 de enero";"3,86"
"2009";"Día 12 de enero";"3,92"
"2009";"Día 13 de enero";"3,98"
"2009";"Día 14 de enero";"3,95"
"2009";"Día 15 de enero";"4,03"
"2009";"Día 16 de enero";"4,11"
"2009";"Día 19 de enero";"4,16"
"2009";"Día 20 de enero";"4,22"
"2009";"Día 21 de enero";"4,22"
"2009";"Día 22 de enero";"4,27"
"2009";"Día 23 de enero";"4,36"
"2009";"Día 26 de enero";"4,47"
"2009";"Día 27 de enero";"4,4"
"2009";"Día 28 de enero";"4,38"
"2009";"Día 29 de enero";"4,32"
"2009";"Día 30 de enero";"4,38"
"2009";"Día 2 de febrero";"4,37"
"2009";"Día 3 de febrero";"4,38"
"2009";"Día 4 de febrero";"4,3"
"2009";"Día 5 de febrero";"4,47"
"2009";"Día 6 de febrero";"4,46"
"2009";"Día 9 de febrero";"4,39"
"2009";"Día 10 de febrero";"4,37"
"2009";"Día 11 de febrero";"4,27"
"2009";"Día 12 de febrero";"4,24"
"2009";"Día 13 de febrero";"4,28"
"2009";"Día 16 de febrero";"4,28"
"2009";"Día 17 de febrero";"4,25"
"2009";"Día 18 de febrero";"4,19"
"2009";"Día 19 de febrero";"4,27"
"2009";"Día 20 de febrero";"4,17"
"2009";"Día 23 de febrero";"4,13"
"2009";"Día 24 de febrero";"4,16"
"2009";"Día 25 de febrero";"4,18"
"2009";"Día 26 de febrero";"4,32"
"2009";"Día 27 de febrero";"4,27"
"2009";"Día 2 de marzo";"4,23"
"2009";"Día 3 de marzo";"4,22"
"2009";"Día 4 de marzo";"4,23"
"2009";"Día 5 de marzo";"4,08"
"2009";"Día 6 de marzo";"4,02"
"2009";"Día 9 de marzo";"4,02"
"2009";"Día 10 de marzo";"4,05"
"2009";"Día 11 de marzo";"4,06"
"2009";"Día 12 de marzo";"4,03"
"2009";"Día 13 de marzo";"4,05"
"2009";"Día 16 de marzo";"4,13"
"2009";"Día 17 de marzo";"4,19"
"2009";"Día 18 de marzo";"4,2"
"2009";"Día 19 de marzo";"4,09"
"2009";"Día 20 de marzo";"4,04"
"2009";"Día 23 de marzo";"4,06"
"2009";"Día 24 de marzo";"4,12"
"2009";"Día 25 de marzo";"4,1"
"2009";"Día 26 de marzo";"4,08"
"2009";"Día 27 de marzo";"4,05"
"2009";"Día 30 de marzo";"4,06"
"2009";"Día 31 de marzo";"4,06"
"2009";"Día 1 de abril";"4,06"
"2009";"Día 2 de abril";"4,12"
"2009";"Día 3 de abril";"4,13"
"2009";"Día 6 de abril";"4,09"
"2009";"Día 7 de abril";"4,13"
"2009";"Día 8 de abril";"4,12"
"2009";"Día 9 de abril";"4,16"
"2009";"Día 14 de abril";"4,12"
"2009";"Día 15 de abril";"4,07"
"2009";"Día 16 de abril";"4,06"
"2009";"Día 17 de abril";"4,13"
"2009";"Día 20 de abril";"4,02"
"2009";"Día 21 de abril";"3,99"
"2009";"Día 22 de abril";"4,03"
"2009";"Día 23 de abril";"4,03"
"2009";"Día 24 de abril";"4,02"
"2009";"Día 27 de abril";"3,97"
"2009";"Día 28 de abril";"3,99"
"2009";"Día 29 de abril";"3,9"
"2009";"Día 30 de abril";"3,94"
"2009";"Día 4 de mayo";"3,99"
"2009";"Día 5 de mayo";"3,91"
"2009";"Día 6 de mayo";"3,92"
"2009";"Día 7 de mayo";"4,02"
"2009";"Día 8 de mayo";"4,03"
"2009";"Día 11 de mayo";"3,97"
"2009";"Día 12 de mayo";"4,02"
"2009";"Día 13 de mayo";"3,95"
"2009";"Día 14 de mayo";"3,99"
"2009";"Día 15 de mayo";"4,03"
"2009";"Día 18 de mayo";"4,03"
"2009";"Día 19 de mayo";"4,14"
"2009";"Día 20 de mayo";"4,11"
"2009";"Día 21 de mayo";"4,1"
"2009";"Día 22 de mayo";"4,21"
"2009";"Día 25 de mayo";"4,3"
"2009";"Día 26 de mayo";"4,29"
"2009";"Día 27 de mayo";"4,29"
"2009";"Día 28 de mayo";"4,41"
"2009";"Día 29 de mayo";"4,4"
"2009";"Día 1 de junio";"4,45"
"2009";"Día 2 de junio";"4,41"
"2009";"Día 3 de junio";"4,34"
"2009";"Día 4 de junio";"4,43"
"2009";"Día 5 de junio";"4,48"
"2009";"Día 8 de junio";"4,42"
"2009";"Día 9 de junio";"4,35"
"2009";"Día 10 de junio";"4,41"
"2009";"Día 11 de junio";"4,43"
"2009";"Día 12 de junio";"4,38"
"2009";"Día 15 de junio";"4,3"
"2009";"Día 16 de junio";"4,34"
"2009";"Día 17 de junio";"4,31"
"2009";"Día 18 de junio";"4,37"
"2009";"Día 19 de junio";"4,28"
"2009";"Día 22 de junio";"4,24"
"2009";"Día 23 de junio";"4,24"
"2009";"Día 24 de junio";"4,22"
"2009";"Día 25 de junio";"4,18"
"2009";"Día 26 de junio";"4,15"
"2009";"Día 29 de junio";"4,12"
"2009";"Día 30 de junio";"4,14"
"2009";"Día 1 de julio";"4,16"
"2009";"Día 2 de julio";"4,06"
"2009";"Día 3 de julio";"4,06"
"2009";"Día 6 de julio";"4,04"
"2009";"Día 7 de julio";"4,06"
"2009";"Día 8 de julio";"4,08"
"2009";"Día 9 de julio";"4,08"
"2009";"Día 10 de julio";"4,06"
"2009";"Día 13 de julio";"4,08"
"2009";"Día 14 de julio";"4,09"
"2009";"Día 15 de julio";"4,12"
"2009";"Día 16 de julio";"4,09"
"2009";"Día 17 de julio";"4,14"
"2009";"Día 20 de julio";"4,07"
"2009";"Día 21 de julio";"4,03"
"2009";"Día 22 de julio";"4"
"2009";"Día 23 de julio";"4,05"
"2009";"Día 24 de julio";"4,05"
"2009";"Día 27 de julio";"4,06"
"2009";"Día 28 de julio";"4"
"2009";"Día 29 de julio";"3,99"
"2009";"Día 30 de julio";"3,98"
"2009";"Día 31 de julio";"3,84"
"2009";"Día 3 de agosto";"3,9"
"2009";"Día 4 de agosto";"3,9"
"2009";"Día 5 de agosto";"3,92"
"2009";"Día 6 de agosto";"3,91"
"2009";"Día 7 de agosto";"4"
"2009";"Día 10 de agosto";"3,94"
"2009";"Día 11 de agosto";"3,92"
"2009";"Día 12 de agosto";"3,94"
"2009";"Día 13 de agosto";"3,91"
"2009";"Día 14 de agosto";"3,83"
"2009";"Día 17 de agosto";"3,82"
"2009";"Día 18 de agosto";"3,81"
"2009";"Día 19 de agosto";"3,78"
"2009";"Día 20 de agosto";"3,78"
